ARABIC MATHEMATICAL INITIAL SEEN;;1EE2E;;𞸮;;1EE2E
ARABIC MATHEMATICAL TAILED SEEN;;1EE4E;;𞹎;;1EE4E
ARABIC MATHEMATICAL STRETCHED SEEN;;1EE6E;;𞹮;;1EE6E
ARABIC MATHEMATICAL LOOPED SEEN;;1EE8E;;𞺎;;1EE8E
ARABIC MATHEMATICAL DOUBLE-STRUCK SEEN;;1EEAE;;𞺮;;1EEAE
ARABIC LIGATURE SEEN WITH JEEM ISOLATED FORM;;FC1C;;ﰜ;;FC1C
ARABIC LIGATURE SEEN WITH JEEM INITIAL FORM;;FCAD;;ﲭ;;FCAD
ARABIC LIGATURE SEEN WITH JEEM MEDIAL FORM;;FD34;;ﴴ;;FD34
ARABIC LIGATURE SEEN WITH JEEM WITH HAH INITIAL FORM;;FD5D;;ﵝ;;FD5D
ARABIC LIGATURE SEEN WITH JEEM WITH ALEF MAKSURA FINAL FORM;;FD5E;;ﵞ;;FD5E
ARABIC LIGATURE SEEN WITH HAH ISOLATED FORM;;FC1D;;ﰝ;;FC1D
ARABIC LIGATURE SEEN WITH HAH INITIAL FORM;;FCAE;;ﲮ;;FCAE
ARABIC LIGATURE SEEN WITH HAH MEDIAL FORM;;FD35;;ﴵ;;FD35
ARABIC LIGATURE SEEN WITH HAH WITH JEEM INITIAL FORM;;FD5C;;ﵜ;;FD5C
ARABIC LIGATURE SEEN WITH KHAH ISOLATED FORM;;FC1E;;ﰞ;;FC1E
ARABIC LIGATURE SEEN WITH KHAH INITIAL FORM;;FCAF;;ﲯ;;FCAF
ARABIC LIGATURE SEEN WITH KHAH MEDIAL FORM;;FD36;;ﴶ;;FD36
ARABIC LIGATURE SEEN WITH KHAH WITH ALEF MAKSURA FINAL FORM;;FDA8;;ﶨ;;FDA8
ARABIC LIGATURE SEEN WITH KHAH WITH YEH FINAL FORM;;FDC6;;ﷆ;;FDC6
ARABIC LIGATURE SEEN WITH REH ISOLATED FORM;;FD0E;;ﴎ;;FD0E
ARABIC LIGATURE SEEN WITH REH FINAL FORM;;FD2A;;ﴪ;;FD2A
ARABIC LIGATURE SEEN WITH MEEM ISOLATED FORM;;FC1F;;ﰟ;;FC1F
ARABIC LIGATURE SEEN WITH MEEM INITIAL FORM;;FCB0;;ﲰ;;FCB0
ARABIC LIGATURE SEEN WITH MEEM MEDIAL FORM;;FCE7;;ﳧ;;FCE7
ARABIC LIGATURE SEEN WITH MEEM WITH JEEM INITIAL FORM;;FD61;;ﵡ;;FD61
ARABIC LIGATURE SEEN WITH MEEM WITH HAH FINAL FORM;;FD5F;;ﵟ;;FD5F
ARABIC LIGATURE SEEN WITH MEEM WITH HAH INITIAL FORM;;FD60;;ﵠ;;FD60
ARABIC LIGATURE SEEN WITH MEEM WITH MEEM FINAL FORM;;FD62;;ﵢ;;FD62
ARABIC LIGATURE SEEN WITH MEEM WITH MEEM INITIAL FORM;;FD63;;ﵣ;;FD63
ARABIC LIGATURE SEEN WITH HEH MEDIAL FORM;;FCE8;;ﳨ;;FCE8
ARABIC LIGATURE SEEN WITH HEH INITIAL FORM;;FD31;;ﴱ;;FD31
ARABIC LIGATURE SEEN WITH ALEF MAKSURA ISOLATED FORM;;FCFB;;ﳻ;;FCFB
ARABIC LIGATURE SEEN WITH ALEF MAKSURA FINAL FORM;;FD17;;ﴗ;;FD17
ARABIC LIGATURE SEEN WITH YEH ISOLATED FORM;;FCFC;;ﳼ;;FCFC
ARABIC LIGATURE SEEN WITH YEH FINAL FORM;;FD18;;ﴘ;;FD18
ARABIC LETTER SHEEN ISOLATED FORM;;FEB5;;ﺵ;;FEB5
ARABIC LETTER SHEEN FINAL FORM;;FEB6;;ﺶ;;FEB6
ARABIC LETTER SHEEN INITIAL FORM;;FEB7;;ﺷ;;FEB7
ARABIC LETTER SHEEN MEDIAL FORM;;FEB8;;ﺸ;;FEB8
ARABIC MATHEMATICAL SHEEN;;1EE14;;𞸔;;1EE14
ARABIC MATHEMATICAL INITIAL SHEEN;;1EE34;;𞸴;;1EE34
ARABIC MATHEMATICAL TAILED SHEEN;;1EE54;;𞹔;;1EE54
ARABIC MATHEMATICAL STRETCHED SHEEN;;1EE74;;𞹴;;1EE74
ARABIC MATHEMATICAL LOOPED SHEEN;;1EE94;;𞺔;;1EE94
ARABIC MATHEMATICAL DOUBLE-STRUCK SHEEN;;1EEB4;;𞺴;;1EEB4
ARABIC LIGATURE SHEEN WITH JEEM ISOLATED FORM;;FD09;;ﴉ;;FD09
ARABIC LIGATURE SHEEN WITH JEEM FINAL FORM;;FD25;;ﴥ;;FD25
ARABIC LIGATURE SHEEN WITH JEEM INITIAL FORM;;FD2D;;ﴭ;;FD2D
ARABIC LIGATURE SHEEN WITH JEEM MEDIAL FORM;;FD37;;ﴷ;;FD37
ARABIC LIGATURE SHEEN WITH JEEM WITH YEH FINAL FORM;;FD69;;ﵩ;;FD69
ARABIC LIGATURE SHEEN WITH HAH ISOLATED FORM;;FD0A;;ﴊ;;FD0A
ARABIC LIGATURE SHEEN WITH HAH FINAL FORM;;FD26;;ﴦ;;FD26
ARABIC LIGATURE SHEEN WITH HAH INITIAL FORM;;FD2E;;ﴮ;;FD2E
ARABIC LIGATURE SHEEN WITH HAH MEDIAL FORM;;FD38;;ﴸ;;FD38
ARABIC LIGATURE SHEEN WITH HAH WITH MEEM FINAL FORM;;FD67;;ﵧ;;FD67
ARABIC LIGATURE SHEEN WITH HAH WITH MEEM INITIAL FORM;;FD68;;ﵨ;;FD68
ARABIC LIGATURE SHEEN WITH HAH WITH YEH FINAL FORM;;FDAA;;ﶪ;;FDAA
ARABIC LIGATURE SHEEN WITH KHAH ISOLATED FORM;;FD0B;;ﴋ;;FD0B
ARABIC LIGATURE SHEEN WITH KHAH FINAL FORM;;FD27;;ﴧ;;FD27
ARABIC LIGATURE SHEEN WITH KHAH INITIAL FORM;;FD2F;;ﴯ;;FD2F
ARABIC LIGATURE SHEEN WITH KHAH MEDIAL FORM;;FD39;;ﴹ;;FD39
ARABIC LIGATURE SHEEN WITH REH ISOLATED FORM;;FD0D;;ﴍ;;FD0D
ARABIC LIGATURE SHEEN WITH REH FINAL FORM;;FD29;;ﴩ;;FD29
ARABIC LIGATURE SHEEN WITH MEEM MEDIAL FORM;;FCE9;;ﳩ;;FCE9
ARABIC LIGATURE SHEEN WITH MEEM ISOLATED FORM;;FD0C;;ﴌ;;FD0C
ARABIC LIGATURE SHEEN WITH MEEM FINAL FORM;;FD28;;ﴨ;;FD28
ARABIC LIGATURE SHEEN WITH MEEM INITIAL FORM;;FD30;;ﴰ;;FD30
ARABIC LIGATURE SHEEN WITH MEEM WITH KHAH FINAL FORM;;FD6A;;ﵪ;;FD6A
ARABIC LIGATURE SHEEN WITH MEEM WITH KHAH INITIAL FORM;;FD6B;;ﵫ;;FD6B
ARABIC LIGATURE SHEEN WITH MEEM WITH MEEM FINAL FORM;;FD6C;;ﵬ;;FD6C
ARABIC LIGATURE SHEEN WITH MEEM WITH MEEM INITIAL FORM;;FD6D;;ﵭ;;FD6D
ARABIC LIGATURE SHEEN WITH HEH MEDIAL FORM;;FCEA;;ﳪ;;FCEA
ARABIC LIGATURE SHEEN WITH HEH INITIAL FORM;;FD32;;ﴲ;;FD32
ARABIC LIGATURE SHEEN WITH ALEF MAKSURA ISOLATED FORM;;FCFD;;ﳽ;;FCFD
ARABIC LIGATURE SHEEN WITH ALEF MAKSURA FINAL FORM;;FD19;;ﴙ;;FD19
ARABIC LIGATURE SHEEN WITH YEH ISOLATED FORM;;FCFE;;ﳾ;;FCFE
