MATHEMATICAL ITALIC CAPITAL ZETA;;1D6E7;;𝛧;;1D6E7
MATHEMATICAL ITALIC SMALL ZETA;;1D701;;𝜁;;1D701
MATHEMATICAL BOLD ITALIC CAPITAL ZETA;;1D721;;𝜡;;1D721
MATHEMATICAL BOLD ITALIC SMALL ZETA;;1D73B;;𝜻;;1D73B
MATHEMATICAL SANS-SERIF BOLD CAPITAL ZETA;;1D75B;;𝝛;;1D75B
MATHEMATICAL SANS-SERIF BOLD SMALL ZETA;;1D775;;𝝵;;1D775
MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL ZETA;;1D795;;𝞕;;1D795
MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL ZETA;;1D7AF;;𝞯;;1D7AF
MATHEMATICAL BOLD CAPITAL ETA;;1D6AE;;𝚮;;1D6AE
MATHEMATICAL BOLD SMALL ETA;;1D6C8;;𝛈;;1D6C8
MATHEMATICAL ITALIC CAPITAL ETA;;1D6E8;;𝛨;;1D6E8
MATHEMATICAL ITALIC SMALL ETA;;1D702;;𝜂;;1D702
MATHEMATICAL BOLD ITALIC CAPITAL ETA;;1D722;;𝜢;;1D722
MATHEMATICAL BOLD ITALIC SMALL ETA;;1D73C;;𝜼;;1D73C
MATHEMATICAL SANS-SERIF BOLD CAPITAL ETA;;1D75C;;𝝜;;1D75C
MATHEMATICAL SANS-SERIF BOLD SMALL ETA;;1D776;;𝝶;;1D776
MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL ETA;;1D796;;𝞖;;1D796
MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL ETA;;1D7B0;;𝞰;;1D7B0
GREEK SMALL LETTER ETA WITH VARIA;;1F74;;ὴ;;03B7 0300
GREEK CAPITAL LETTER ETA WITH VARIA;;1FCA;;Ὴ;;0397 0300
GREEK SMALL LETTER ETA WITH VARIA AND YPOGEGRAMMENI;;1FC2;;ῂ;;03B7 0300 0345
GREEK CAPITAL LETTER ETA WITH TONOS;;0389;;Ή;;0397 0301
GREEK SMALL LETTER ETA WITH TONOS;;03AE;;ή;;03B7 0301
GREEK SMALL LETTER ETA WITH OXIA;;1F75;;ή;;03B7 0301
GREEK CAPITAL LETTER ETA WITH OXIA;;1FCB;;Ή;;0397 0301
GREEK SMALL LETTER ETA WITH OXIA AND YPOGEGRAMMENI;;1FC4;;ῄ;;03B7 0301 0345
GREEK SMALL LETTER ETA WITH PSILI;;1F20;;ἠ;;03B7 0313
GREEK CAPITAL LETTER ETA WITH PSILI;;1F28;;Ἠ;;0397 0313
GREEK SMALL LETTER ETA WITH PSILI AND VARIA;;1F22;;ἢ;;03B7 0313 0300
GREEK CAPITAL LETTER ETA WITH PSILI AND VARIA;;1F2A;;Ἢ;;0397 0313 0300
GREEK SMALL LETTER ETA WITH PSILI AND VARIA AND YPOGEGRAMMENI;;1F92;;ᾒ;;03B7 0313 0300 0345
GREEK CAPITAL LETTER ETA WITH PSILI AND VARIA AND PROSGEGRAMMENI;;1F9A;;ᾚ;;0397 0313 0300 0345
GREEK SMALL LETTER ETA WITH PSILI AND OXIA;;1F24;;ἤ;;03B7 0313 0301
GREEK CAPITAL LETTER ETA WITH PSILI AND OXIA;;1F2C;;Ἤ;;0397 0313 0301
GREEK SMALL LETTER ETA WITH PSILI AND OXIA AND YPOGEGRAMMENI;;1F94;;ᾔ;;03B7 0313 0301 0345
GREEK CAPITAL LETTER ETA WITH PSILI AND OXIA AND PROSGEGRAMMENI;;1F9C;;ᾜ;;0397 0313 0301 0345
GREEK SMALL LETTER ETA WITH PSILI AND PERISPOMENI;;1F26;;ἦ;;03B7 0313 0342
GREEK CAPITAL LETTER ETA WITH PSILI AND PERISPOMENI;;1F2E;;Ἦ;;0397 0313 0342
GREEK SMALL LETTER ETA WITH PSILI AND PERISPOMENI AND YPOGEGRAMMENI;;1F96;;ᾖ;;03B7 0313 0342 0345
GREEK CAPITAL LETTER ETA WITH PSILI AND PERISPOMENI AND PROSGEGRAMMENI;;1F9E;;ᾞ;;0397 0313 0342 0345
GREEK SMALL LETTER ETA WITH PSILI AND YPOGEGRAMMENI;;1F90;;ᾐ;;03B7 0313 0345
GREEK CAPITAL LETTER ETA WITH PSILI AND PROSGEGRAMMENI;;1F98;;ᾘ;;0397 0313 0345
GREEK SMALL LETTER ETA WITH DASIA;;1F21;;ἡ;;03B7 0314
GREEK CAPITAL LETTER ETA WITH DASIA;;1F29;;Ἡ;;0397 0314
GREEK SMALL LETTER ETA WITH DASIA AND VARIA;;1F23;;ἣ;;03B7 0314 0300
GREEK CAPITAL LETTER ETA WITH DASIA AND VARIA;;1F2B;;Ἣ;;0397 0314 0300
GREEK SMALL LETTER ETA WITH DASIA AND VARIA AND YPOGEGRAMMENI;;1F93;;ᾓ;;03B7 0314 0300 0345
GREEK CAPITAL LETTER ETA WITH DASIA AND VARIA AND PROSGEGRAMMENI;;1F9B;;ᾛ;;0397 0314 0300 0345
GREEK SMALL LETTER ETA WITH DASIA AND OXIA;;1F25;;ἥ;;03B7 0314 0301
GREEK CAPITAL LETTER ETA WITH DASIA AND OXIA;;1F2D;;Ἥ;;0397 0314 0301
GREEK SMALL LETTER ETA WITH DASIA AND OXIA AND YPOGEGRAMMENI;;1F95;;ᾕ;;03B7 0314 0301 0345
GREEK CAPITAL LETTER ETA WITH DASIA AND OXIA AND PROSGEGRAMMENI;;1F9D;;ᾝ;;0397 0314 0301 0345
GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI;;1F27;;ἧ;;03B7 0314 0342
GREEK CAPITAL LETTER ETA WITH DASIA AND PERISPOMENI;;1F2F;;Ἧ;;0397 0314 0342
GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI;;1F97;;ᾗ;;03B7 0314 0342 0345
GREEK CAPITAL LETTER ETA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI;;1F9F;;ᾟ;;0397 0314 0342 0345
GREEK SMALL LETTER ETA WITH DASIA AND YPOGEGRAMMENI;;1F91;;ᾑ;;03B7 0314 0345
GREEK CAPITAL LETTER ETA WITH DASIA AND PROSGEGRAMMENI;;1F99;;ᾙ;;0397 0314 0345
GREEK SMALL LETTER ETA WITH PERISPOMENI;;1FC6;;ῆ;;03B7 0342
GREEK SMALL LETTER ETA WITH PERISPOMENI AND YPOGEGRAMMENI;;1FC7;;ῇ;;03B7 0342 0345
GREEK SMALL LETTER ETA WITH YPOGEGRAMMENI;;1FC3;;ῃ;;03B7 0345
GREEK CAPITAL LETTER ETA WITH PROSGEGRAMMENI;;1FCC;;ῌ;;0397 0345
GREEK THETA SYMBOL;;03D1;;ϑ;;03D1
GREEK CAPITAL THETA SYMBOL;;03F4;;ϴ;;03F4
MODIFIER LETTER SMALL THETA;;1DBF;;ᶿ;;1DBF
MATHEMATICAL BOLD CAPITAL THETA;;1D6AF;;𝚯;;1D6AF
MATHEMATICAL BOLD CAPITAL THETA SYMBOL;;1D6B9;;𝚹;;1D6B9
